###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57520.488496 -17.202  0.053  -478   25 c  0  64.03 266.37407 -29.31596  3859.77  6989.36 4.11 3.79 -68.8 -0.462 19.10 21.01 02a57520o0518c
57520.503413 -17.205  0.052  -476   25 c  0  63.53 266.37407 -29.31596  3873.17  7026.24 4.14 3.78 -68.6 -0.462 19.11 21.02 02a57520o0547c
57520.511651 -17.296  0.052  -438   23 c  0  65.23 266.37407 -29.31596  3821.55  6946.36 4.10 3.76 -66.6 -0.456 19.13 21.02 02a57520o0564c
57520.522301 -17.407  0.071  -396   28 c  0  48.26 266.37407 -29.31596  3804.09  7059.67 4.11 3.78 -66.9 -0.460 19.12 21.03 02a57520o0586c
57520.535395 -17.355  0.065  -415   27 c  0  50.20 266.37407 -29.31596  3834.67  6999.02 4.08 3.71 -70.4 -0.465 19.14 21.02 02a57520o0613c
57521.518733 -17.133  0.054  -509   27 c  0  45.66 266.37407 -29.31596  3926.74 10408.39 4.28 3.98 -67.7 -0.428 19.17 21.03 02a57521o0555c
57521.526736   5.843  0.025 -789143715810 20032109709 c  0  66.05 266.37407 -29.31596  9134.88  9795.57 4.48 3.87  77.3 -0.401 -3.10 -1.14 02a57521o0570c
57521.530616 -16.539  0.044  -880   38 c  0  22.01 266.37407 -29.31596  6588.95    65.40 5.21 3.80   4.9 -0.514 19.16 20.95 02a57521o0578c
57521.538481   5.543  0.030 -598536943206 17697893134 c  0  88.86 266.37407 -29.31596  9116.73  9761.28 4.38 3.74  78.1 -0.413 -3.08 -1.15 02a57521o0593c
57521.542875 -16.686  0.043  -768   33 c  0  30.70 266.37407 -29.31596  6635.45   148.49 5.14 3.72   6.5 -0.516 19.15 20.91 02a57521o0601c
57521.550459   5.750  0.027 -724247439450 19503447927 c  0  72.48 266.37407 -29.31596  9180.04  9848.10 4.41 3.71  81.1 -0.419 -3.09 -1.18 02a57521o0616c
57521.554510  17.191  1.362   483  658 c  0   0.12 266.37407 -29.31596  6650.85    34.27 5.28 3.80   5.8 -0.508 19.14 20.90 02a57521o0624c
57521.562388   5.696  0.028 -689092414134 18981677518 c  0  67.01 266.37407 -29.31596  9195.29  9737.28 4.34 3.70  80.3 -0.424 -3.09 -1.18 02a57521o0639c
57521.566558 -16.476  0.034  -932   32 c  0  42.75 266.37407 -29.31596  6613.83    98.00 5.15 3.77   6.0 -0.529 19.14 20.88 02a57521o0647c
57521.573846   5.640  0.032 -654410755230 20748241597 c  0  52.45 266.37407 -29.31596  9141.76  9801.20 4.26 3.65  79.9 -0.434 -3.07 -1.22 02a57521o0662c
57616.340517   7.385  0.016 -3265955837402 51469218068 o  0 22024.36 266.37407 -29.31596  6875.58  1952.90 5.15 4.38   4.4 -0.482 -4.64 -3.69 02a57616o0230o
57616.352462 -15.220  0.030 -2965   88 o  0 10018.45 266.37407 -29.31596  6860.48  1913.07 4.42 3.74   9.6 -0.569 17.94 18.97 02a57616o0253o
57616.365518 -15.225  0.026 -2951   78 o  0 17500.78 266.37407 -29.31596  6912.91  1989.04 4.49 3.81   6.1 -0.547 17.90 18.95 02a57616o0278o
57643.262650   6.753  0.028 -1824371397734 51161284693 o  0 18689.19 266.37407 -29.31596  8176.02   766.00 4.06 3.88  47.5 -0.441 -4.45 -3.93 02a57643o0079o
57643.277826 -15.228  0.029 -2943   85 o  0 11853.15 266.37407 -29.31596  8159.70   726.01 4.10 3.96  42.9 -0.434 17.35 17.79 02a57643o0108o
57643.292544   6.542  0.034 -1502755165946 50635382519 o  0 15121.24 266.37407 -29.31596  8228.07   800.47 4.04 3.91  43.5 -0.440 -4.56 -4.10 02a57643o0137o
57643.305193   6.592  0.030 -1573282218916 47815724097 o  0 16127.57 266.37407 -29.31596  8249.05   681.79 4.02 3.91  29.8 -0.458 -4.45 -3.93 02a57643o0162o
57647.286920 -16.160  0.059 -1248   74 o  0  10.78 266.37407 -29.31596  6111.02   393.84 3.67 3.47 -60.1 -0.502 17.95 18.53 02a57647o0151o
57651.260576 -16.222  0.040 -1178   47 o  0 5846.08 266.37407 -29.31596  4974.83  2209.42 3.57 3.44 -67.3 -0.481 18.50 19.67 02a57651o0078o
57651.274930 -16.189  0.033 -1214   40 o  0  38.17 266.37407 -29.31596  4957.27  2167.04 3.57 3.45 -67.3 -0.480 18.57 19.76 02a57651o0106o
57826.578675   5.155  0.062 -418719951408 25782072265 o  0  17.03 266.37407 -29.31596  6259.25  1985.22 3.98 3.24 -58.6 -0.462 -3.53 -2.51 01a57826o0595o
57826.596089 -15.798  0.097 -1741  169 o  0   4.62 266.37407 -29.31596  4241.77  8511.52 3.78 3.67  81.0 -0.487 17.63 18.18 02a57826o0696o
57826.596522   5.730  0.045 -711539729804 31883781769 o  0  19.78 266.37407 -29.31596  6827.16  1390.57 4.18 3.43 -54.5 -0.461 -3.53 -2.40 01a57826o0629o
57826.613813 -14.646  0.038 -5030  191 o  0  12.37 266.37407 -29.31596  3666.10  9101.36 4.05 3.94  53.5 -0.390 17.57 18.24 02a57826o0730o
57826.616186 -15.965  0.050 -1493   75 o  0  21.31 266.37407 -29.31596  5959.02  1111.41 4.30 3.51 -65.2 -0.446 17.94 19.09 01a57826o0664o
57826.632359 -15.799  0.054 -1740   94 o  0  12.97 266.37407 -29.31596  4529.13  9388.24 3.69 3.58  48.2 -0.475 17.74 18.31 02a57826o0765o
57826.634999   5.363  0.048 -507016452523 24154807868 o  0  20.56 266.37407 -29.31596  7115.00  2256.81 3.80 3.29 -55.3 -0.477 -3.43 -2.30 01a57826o0698o
57826.650708   7.110  0.043 -2535539680301 109183389424 o  0 961.02 266.37407 -29.31596  3379.19  8227.89 3.96 3.82  71.7 -0.399 -4.40 -3.84 02a57826o0799o
57827.595842 -14.988  0.046 -3672  170 o  0  10.61 266.37407 -29.31596  4243.11  8511.62 3.93 3.80  55.8 -0.393 17.66 18.35 02a57827o0681o
57827.613835 -15.353  0.051 -2622  133 o  0  11.83 266.37407 -29.31596  3667.18  9101.76 3.93 3.79  43.8 -0.407 17.72 18.45 02a57827o0715o
57827.632492 -16.087  0.058 -1334   78 o  0  10.97 266.37407 -29.31596  4530.47  9388.73 3.53 3.47  37.1 -0.475 17.87 18.52 02a57827o0750o
57827.650859   7.111  0.037 -2538503940012 92904282271 o  0 1447.70 266.37407 -29.31596  3380.84  8227.82 3.95 3.84  66.6 -0.395 -4.36 -3.77 02a57827o0784o
57855.543775 -15.400  0.031 -2512   77 o  0  35.03 266.37407 -29.31596  4193.98  7725.42 3.91 3.75  77.1 -0.396 17.44 17.86 02a57855o0652o
57855.556610 -16.095  0.054 -1325   72 o  0  28.72 266.37407 -29.31596  4214.57  7763.75 3.86 3.72  71.0 -0.401 17.48 17.92 02a57855o0677o
57855.571448 -15.525  0.033 -2238   75 o  0 1632.48 266.37407 -29.31596  4164.98  7687.00 3.88 3.74  73.4 -0.397 17.49 17.96 02a57855o0707o
57855.593434   6.268  0.033 -1167205033954 38790047226 o  0  35.84 266.37407 -29.31596  4125.49  7805.05 3.87 3.72  78.6 -0.393 -4.39 -3.92 02a57855o0752o
57855.606236   6.292  0.038 -1193924071855 45748954700 o  0 7724.51 266.37407 -29.31596  4172.40  7748.82 3.82 3.69  76.4 -0.404 -4.38 -3.91 02a57855o0778o
57859.615925   5.443  0.115 -545966077041 62788551538 o  0   2.88 266.37407 -29.31596  7237.16 10309.27 3.60 3.54  83.4 -0.506 -4.68 -4.63 02a57859o0769o
57859.634485   6.370  0.058 -1282357243897 73991126013 o  0 617.21 266.37407 -29.31596  7203.92 10272.20 3.49 3.48  -8.8 -0.501 -4.81 -4.95 02a57859o0803o
57879.588296 -17.631  0.173  -322   56 o  0   1.58 266.37407 -29.31596  4753.42  1759.76 2.54 2.07  14.2 -0.528 19.01 20.29 02a57879o0698o
57879.604131 -16.977  0.154  -588   91 o  0   1.39 266.37407 -29.31596  4737.94  1719.45 2.59 2.08  14.9 -0.531 19.01 20.26 02a57879o0728o
57879.619388 -17.082  0.077  -534   41 o  0   5.49 266.37407 -29.31596  4790.86  1796.62 2.71 2.18  13.7 -0.516 18.75 19.63 02a57879o0757o
57881.563905 -17.053  0.091  -548   50 o  0  17.30 266.37407 -29.31596  2240.68  8714.80 3.30 3.16 -65.1 -0.457 18.18 19.30 01a57881o0664o
57881.576985   5.960  0.055 -878989702280 48569511851 o  0  19.85 266.37407 -29.31596  2257.57  8751.27 3.09 2.96 -50.5 -0.458 -4.24 -3.10 01a57881o0690o
57881.602940   5.604  0.087 -633071018541 55073206120 o  0  28.47 266.37407 -29.31596  2188.76  8790.87 3.20 3.06 -63.4 -0.457 -4.18 -2.85 01a57881o0741o
57882.496773 -16.543  0.042  -876   37 o  0  23.58 266.37407 -29.31596   638.97  9566.85 2.83 2.70 -78.4 -0.555 18.06 18.83 01a57882o0408o
