###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57827.632492  11.647  0.001 79673   74 o  0 52254.50 266.37407 -29.31596  4530.47  9388.73 3.53 3.47  37.1 -0.475 17.87 18.52 02a57827o0750o
57879.588296 -18.591  0.183  -133   24 o  0   3.10 266.37407 -29.31596  4753.42  1759.76 2.54 2.07  14.2 -0.528 19.01 20.29 02a57879o0698o
57879.604131 -18.627  0.240  -129   31 o  0   1.90 266.37407 -29.31596  4737.94  1719.45 2.59 2.08  14.9 -0.531 19.01 20.26 02a57879o0728o
57879.619388 -18.685  0.215  -122   26 o  0   1.92 266.37407 -29.31596  4790.86  1796.62 2.71 2.18  13.7 -0.516 18.75 19.63 02a57879o0757o
57881.563905  18.483  0.414   147   61 o  0   2.23 266.37407 -29.31596  2240.68  8714.80 3.30 3.16 -65.1 -0.457 18.18 19.30 01a57881o0664o
57882.496773  17.472  0.133   372   50 o  0  15.05 266.37407 -29.31596   638.97  9566.85 2.83 2.70 -78.4 -0.555 18.06 18.83 01a57882o0408o
57882.505684  19.199  0.539    76   41 o  0   1.41 266.37407 -29.31596   623.08  9525.70 2.75 2.62 -86.0 -0.562 18.15 18.81 01a57882o0425o
57882.530476  20.279  1.539    28   43 o  0   1.04 266.37407 -29.31596   708.73  9484.09 2.78 2.68 -68.7 -0.556 18.14 18.87 01a57882o0472o
57891.556689 -18.503  0.148  -144   21 o  0   4.30 266.37407 -29.31596  4858.45  1422.83 2.73 2.62  84.4 -0.412 18.81 19.77 02a57891o0324o
57891.572402 -18.620  0.191  -129   25 o  0   3.54 266.37407 -29.31596  4843.31  1382.32 2.71 2.56 -86.1 -0.421 18.78 19.74 02a57891o0354o
57891.587603 -18.934  0.258   -97   25 o  0   3.66 266.37407 -29.31596  4897.37  1461.73 2.78 2.48 -80.7 -0.416 18.74 19.71 02a57891o0383o
57891.602795 -18.303  0.155  -173   27 o  0   2.94 266.37407 -29.31596  4917.36  1342.76 2.82 2.52 -79.8 -0.413 18.66 19.65 02a57891o0412o
57891.618052 -18.230  0.233  -185   43 o  0   1.55 266.37407 -29.31596  4886.15  1399.00 2.81 2.45 -74.2 -0.405 18.40 18.94 02a57891o0441o
57894.609082 -21.353  3.745   -10   39 o  0   3.16 266.37407 -29.31596  4874.53 10216.00 3.50 2.89 -43.2 -0.471 18.65 20.07 01a57894o0160o
57895.548207 -19.248  0.217   -72   16 c  0   3.03 266.37407 -29.31596  5582.46  3215.24 3.06 2.70  31.5 -0.463 19.28 20.99 02a57895o0596c
57895.565091 -19.751  0.484   -46   22 c  0   2.09 266.37407 -29.31596  5569.03  3176.44 3.26 2.93  35.4 -0.461 18.99 20.65 02a57895o0628c
57895.598200 -19.451  0.256   -60   15 c  0   3.30 266.37407 -29.31596  5659.15  3134.84 3.11 2.77  35.1 -0.465 19.32 20.88 02a57895o0691c
57895.615030 -20.556  1.055   -22   23 c  0   2.31 266.37407 -29.31596  5611.12  3190.42 3.27 2.95  35.6 -0.467 18.66 19.82 02a57895o0723c
57898.596009  10.846  0.000 166581   18 o  0 39692.65 266.37407 -29.31596  5715.35  9934.84 6.31 4.45 -24.8 -0.333 17.98 19.78 01a57898o0562o
57899.539422 -19.320  0.280   -68   19 c  0   1.42 266.37407 -29.31596  5431.02  2011.60 3.04 2.57  31.5 -0.475 19.45 21.11 02a57899o0589c
57899.556183 -19.563  0.292   -54   16 c  0   2.11 266.37407 -29.31596  5417.94  1972.43 3.12 2.68  31.4 -0.471 19.36 21.08 02a57899o0621c
57899.572552 -19.660  0.353   -50   18 c  0   1.77 266.37407 -29.31596  5489.64  2049.64 3.11 2.65  32.2 -0.465 19.39 21.02 02a57899o0652c
57899.589340 -19.328  0.230   -67   16 c  0   3.29 266.37407 -29.31596  5508.26  1930.73 3.20 2.69  32.0 -0.470 19.37 20.98 02a57899o0684c
57899.606127 -19.018  0.201   -90   18 c  0   3.22 266.37407 -29.31596  5475.67  1986.35 3.47 2.94  33.5 -0.453 19.20 20.73 02a57899o0716c
57901.591307  13.292  0.001 17506   25 o  0 11548.65 266.37407 -29.31596  2482.92   724.44 3.69 3.05 -43.3 -0.492 18.29 20.49 01a57901o0506o
57901.601277  13.391  0.001 15988   18 o  0 6108.76 266.37407 -29.31596  5057.05 10479.90 6.59 4.91 -33.0 -0.327 18.50 20.47 01a57901o0526o
57901.607435  12.127  0.001 51202   32 o  0 32206.28 266.37407 -29.31596  2513.13   822.76 4.76 4.11 -27.6 -0.413 18.07 20.34 01a57901o0538o
57901.617477  16.182  0.046  1222   57 o  0  51.75 266.37407 -29.31596  4997.54 10460.23 6.63 5.11 -39.1 -0.329 18.07 19.42 01a57901o0558o
57903.527236 -20.024  0.481   -36   17 c  0   1.86 266.37407 -29.31596  7133.48   901.68 2.87 2.76  59.8 -0.431 19.44 21.06 02a57903o0570c
57903.544139 -19.586  0.310   -53   16 c  0   1.59 266.37407 -29.31596  7119.22   862.92 2.82 2.71  56.0 -0.438 19.47 21.06 02a57903o0603c
57903.560535 -19.279  0.224   -71   16 c  0   1.70 266.37407 -29.31596  7171.65   940.69 2.82 2.72  77.2 -0.440 19.38 21.02 02a57903o0635c
57903.577455 -20.141  0.562   -32   18 c  0   1.95 266.37407 -29.31596  7192.50   821.08 2.95 2.83  64.0 -0.442 19.33 20.96 02a57903o0668c
57903.593852 -20.029  0.445   -35   16 c  0   2.71 266.37407 -29.31596  7160.53   878.05 2.88 2.76  60.6 -0.443 19.36 20.92 02a57903o0700c
